ecoregion wdpaid averpasim hr2aver pxpa hr1insumaver hriaver nfeatsaver lpratio lpmaxsize aggregation treepamin treepamax eprpamin eprpamax prepamin prepamax biopamin biopamax slopepamin slopepamax ndwipamin ndwipamax ndvimaxpamin ndvimaxpamax ndviminpamin ndviminpamax hpamin hpamax treepamean eprpamean prepamean biopamean slopepamean ndwipamean ndvimaxpamean ndviminpamean hpamean
10105 314648 0.6 407 210 135 1.94 159 0.1 22.0 2.56 1.0 86.0 0.35 0.46 2595.57 2902.93 16.99 22.07 0.48 23.07 160.0 197.0 214.0 250.0 63.0 207.0 14.0 96.0 57.36 0.43 2692.95 20.62 8.96 172.89 234.89 160.03 42.51
10105 6153388 0.17 424 192 179 2.21 116 0.56 107.0 3.66 48.0 92.0 0.29 0.35 3123.24 4730.23 19.75 22.95 0.62 33.85 167.0 188.0 224.0 255.0 51.0 255.0 8.0 52.0 78.51 0.31 4006.4 21.85 6.25 173.83 243.73 98.05 21.5
10105 8067284 0.46 691 825 724 0.84 115 0.12 96.0 6.01 3.0 100.0 0.26 0.44 3328.02 3519.75 15.04 24.34 1.08 30.48 169.0 186.0 230.0 250.0 76.0 224.0 0.0 94.0 84.87 0.35 3434.1 21.09 12.07 177.1 247.65 188.23 15.13
10105 15002337 0.44 4785 2187 2216 2.19 476 0.36 787.0 10.05 0.0 95.0 0.16 0.42 3068.44 3977.06 4.39 23.32 1.09 52.38 154.0 202.0 165.0 255.0 26.0 255.0 4.0 97.0 59.8 0.26 3339.7 13.8 16.72 176.98 231.64 72.91 39.08
10105 15002536 0.42 2593 322 1111 8.05 365 1.6 514.0 7.1 30.0 93.0 0.21 0.39 2931.21 3516.85 9.82 22.24 3.09 33.83 158.0 185.0 218.0 255.0 44.0 255.0 7.0 70.0 82.51 0.28 3168.16 14.95 13.7 167.9 236.48 156.67 17.49
10105 15003119 0.34 421 109 223 3.86 120 0.36 39.0 3.51 57.0 93.0 0.2 0.29 3067.9 3582.28 8.84 15.93 4.69 29.71 160.0 186.0 219.0 250.0 33.0 183.0 7.0 43.0 80.28 0.23 3357.55 11.41 15.95 176.85 236.44 90.97 19.62
10105 15006487 0.33 1138 306 521 3.72 280 0.51 155.0 4.06 13.0 81.0 0.27 0.56 1911.76 3067.87 13.81 19.79 0.25 26.19 146.0 195.0 183.0 241.0 74.0 185.0 19.0 87.0 42.3 0.39 2501.0 16.98 10.43 161.85 215.71 143.22 57.6
10105 15007183 0.43 9828 2233 3379 4.4 903 0.66 1482.0 10.88 19.0 96.0 0.17 0.51 2227.06 3985.55 7.2 24.55 0.89 45.64 145.0 201.0 188.0 255.0 16.0 255.0 4.0 81.0 72.99 0.26 3207.36 12.77 11.51 171.21 230.63 96.96 26.85
10105 80671276 0.54 2157 2000 1601 1.08 226 0.24 472.0 9.54 12.0 99.0 0.2 0.33 3294.67 3592.98 9.25 20.48 0.02 39.8 153.0 198.0 189.0 255.0 38.0 255.0 1.0 81.0 78.74 0.26 3368.74 15.43 10.95 169.65 236.82 120.11 21.17
10105 80672491 0.3 32 94 63 0.34 14 0.06 6.0 2.29 19.0 78.0 0.28 0.29 3339.26 3363.79 17.02 17.96 0.02 17.32 150.0 171.0 201.0 255.0 138.0 255.0 22.0 81.0 48.33 0.29 3350.54 17.86 3.02 162.1 223.22 172.98 51.36
10105 80673803 0.03 5 59 27 0.08 1 0.08 5.0 5.0 26.0 86.0 0.29 0.31 3353.89 3363.2 18.04 18.9 0.07 12.71 160.0 179.0 218.0 236.0 88.0 189.0 14.0 74.0 49.17 0.3 3358.25 18.72 3.33 166.29 227.95 164.22 50.83
10105 80683972 0.44 4467 896 947 4.99 713 1.11 997.0 6.27 18.0 98.0 0.22 0.45 3317.12 3561.83 11.27 24.61 1.99 33.17 166.0 203.0 230.0 250.0 32.0 217.0 2.0 82.0 76.88 0.33 3397.04 19.82 15.55 178.82 244.95 109.03 23.12
10105 80685451 0.48 738 439 418 1.68 150 0.4 176.0 4.92 12.0 90.0 0.19 0.37 3334.51 3633.61 8.84 22.08 1.92 34.4 160.0 198.0 202.0 250.0 34.0 141.0 10.0 83.0 55.8 0.23 3460.43 13.06 18.29 174.38 234.09 64.04 43.41
10105 80731062 0.47 36002 4232 3392 8.51 2431 1.42 6013.0 14.81 0.0 100.0 0.23 0.76 2342.59 4245.51 15.78 26.01 0.38 33.79 164.0 207.0 221.0 250.0 43.0 216.0 0.0 92.0 77.69 0.49 2886.37 22.68 11.54 179.25 242.57 138.1 22.22
10105 80738784 0.46 52026 3588 4835 14.5 2288 1.69 6075.0 22.74 0.0 99.0 0.13 0.66 2416.98 5567.46 4.8 24.77 0.59 54.42 151.0 215.0 180.0 255.0 33.0 255.0 1.0 99.0 55.64 0.25 4107.31 16.51 16.23 184.48 235.97 85.21 42.36
10105 98116235 0.47 6833 699 1017 9.78 893 2.54 1778.0 7.65 11.0 96.0 0.62 0.8 2350.12 2671.91 24.21 26.86 0.06 17.64 175.0 199.0 205.0 250.0 60.0 171.0 4.0 89.0 75.57 0.75 2528.6 26.15 2.94 188.16 238.67 117.1 24.42
10105 106683840 0.54 5323 1137 1094 4.68 1240 0.23 259.0 4.29 4.0 98.0 0.31 0.45 2327.88 4085.62 12.15 23.28 0.94 34.95 168.0 203.0 230.0 255.0 28.0 255.0 2.0 88.0 77.14 0.39 2642.62 18.7 11.01 176.9 240.74 87.66 22.82
10105 150015226 0.42 5980 3027 3936 1.98 408 0.49 1483.0 14.66 0.0 90.0 0.16 0.44 2457.99 4097.98 5.34 20.9 0.43 43.13 148.0 208.0 138.0 255.0 24.0 255.0 10.0 93.0 44.69 0.22 3458.7 10.93 13.7 177.11 211.28 61.19 50.63
10105 150018682 0.49 18084 3007 2531 6.01 2009 0.29 872.0 9.0 1.0 99.0 0.21 0.47 2404.81 3494.65 10.0 24.4 1.75 45.14 162.0 207.0 212.0 255.0 28.0 255.0 1.0 90.0 74.2 0.36 2929.34 18.84 17.24 180.81 240.68 75.23 25.75
10105 150020959 0.37 5815 2155 2441 2.7 966 0.39 841.0 6.02 26.0 97.0 0.34 0.53 2639.84 3589.89 18.43 26.16 0.24 34.22 170.0 208.0 222.0 250.0 18.0 188.0 3.0 74.0 80.14 0.44 3366.36 23.74 10.61 182.93 244.41 81.99 19.86
10105 150028312 0.52 5552 726 693 7.65 1070 0.45 328.0 5.19 0.0 95.0 0.29 0.51 2466.16 3381.1 15.48 25.31 2.38 34.75 165.0 206.0 223.0 250.0 28.0 175.0 5.0 96.0 63.55 0.43 2867.28 21.36 12.75 189.49 238.71 72.93 36.28
10105 810026352 0.41 1481 52 142 28.48 259 4.87 253.0 5.72 13.0 89.0 0.58 0.68 3022.26 3141.95 25.62 26.79 1.07 15.96 174.0 191.0 221.0 250.0 85.0 161.0 11.0 87.0 70.12 0.62 3087.68 26.2 6.42 180.04 240.79 123.75 29.85
10105 810033241 0.29 12829 320 666 40.09 1371 2.8 895.0 9.36 0.0 92.0 0.46 0.74 2561.67 2917.84 21.62 26.85 1.82 30.27 175.0 205.0 225.0 255.0 44.0 255.0 8.0 98.0 52.54 0.6 2724.64 24.76 13.16 188.99 240.0 85.01 46.15
10105 810037908 None None None 0 None None None None None 23.0 98.0 0.48 0.61 2769.37 3272.84 24.22 26.47 1.49 29.24 174.0 193.0 235.0 249.0 72.0 161.0 2.0 75.0 65.7 0.57 3191.09 25.77 9.19 181.48 239.11 113.3 34.19
10105 810040129 0.32 3337 44 286 75.84 648 4.57 201.0 5.15 0.0 90.0 0.48 0.68 2579.98 2792.14 22.04 25.86 3.16 24.53 175.0 196.0 233.0 250.0 59.0 131.0 10.0 91.0 67.05 0.57 2688.51 24.21 13.94 185.34 243.39 87.59 32.46
10105 981162791 0.44 109 64 73 1.7 33 0.33 21.0 3.3 0.0 89.0 0.45 0.62 2463.63 2701.89 21.59 24.19 2.95 17.23 178.0 200.0 229.0 250.0 50.0 99.0 11.0 98.0 49.59 0.56 2540.34 23.28 9.23 192.48 235.2 74.67 49.63
