cat,label,wdpaid,wdpa_id
978,,10,10978
978,,10,10978
978,,10,10978
52686,,100014,10001452686
52686,,100014,10001452686
52686,,100014,10001452686
52686,,100014,10001452686
8640,,100014,1000148640
8640,,100014,1000148640
52161,,100014,10001452161
52161,,100014,10001452161
52161,,100014,10001452161
52161,,100014,10001452161
8640,,100014,1000148640
8640,,100014,1000148640
8640,,100014,1000148640
8640,,100014,1000148640
2366,,100017,1000172366
3645,,100018,1000183645
1974,,100018,1000181974
1974,,100018,1000181974
1974,,100018,1000181974
6301,,100018,1000186301
1974,,100018,1000181974
6301,,100018,1000186301
6301,,100018,1000186301
266,,10002,10002266
2890,,100204,1002042890
340,,100204,100204340
340,,100204,100204340
2890,,100204,1002042890
340,,100204,100204340
340,,100204,100204340
340,,100204,100204340
2500,,100204,1002042500
3518,,100204,1002043518
3615,,100204,1002043615
3707,,100204,1002043707
305,,100205,100205305
4666,,100205,1002054666
777,,100205,100205777
4666,,100205,1002054666
4666,,100205,1002054666
3405,,100205,1002053405
3973,,100205,1002053973
9257,,100205,1002059257
10308,,100205,10020510308
9257,,100205,1002059257
11812,,100205,10020511812
9257,,100205,1002059257
11812,,100205,10020511812
1265,,100206,1002061265
1265,,100206,1002061265
2297,,100206,1002062297
187,,100285,100285187
187,,100285,100285187
28681,,1006,100628681
14170,,1006,100614170
14170,,1006,100614170
14170,,1006,100614170
14170,,1006,100614170
14170,,1006,100614170
14170,,1006,100614170
14170,,1006,100614170
14170,,1006,100614170
14170,,1006,100614170
21572,,1006,100621572
14170,,1006,100614170
33798,,1006,100633798
14170,,1006,100614170
18112,,1006,100618112
33798,,1006,100633798
14170,,1006,100614170
33798,,1006,100633798
18112,,1006,100618112
18112,,1006,100618112
14170,,1006,100614170
33798,,1006,100633798
33798,,1006,100633798
33798,,1006,100633798
18112,,1006,100618112
18112,,1006,100618112
18112,,1006,100618112
33798,,1006,100633798
20344,,1006,100620344
33798,,1006,100633798
18112,,1006,100618112
20344,,1006,100620344
18112,,1006,100618112
33798,,1006,100633798
20344,,1006,100620344
20344,,1006,100620344
33798,,1006,100633798
18112,,1006,100618112
20344,,1006,100620344
33798,,1006,100633798
20344,,1006,100620344
21572,,1006,100621572
33798,,1006,100633798
20344,,1006,100620344
27656,,1006,100627656
20344,,1006,100620344
33798,,1006,100633798
33798,,1006,100633798
20344,,1006,100620344
33798,,1006,100633798
33798,,1006,100633798
33798,,1006,100633798
27656,,1006,100627656
33798,,1006,100633798
33798,,1006,100633798
33798,,1006,100633798
33798,,1006,100633798
33798,,1006,100633798
27656,,1006,100627656
33798,,1006,100633798
33798,,1006,100633798
33798,,1006,100633798
27656,,1006,100627656
27656,,1006,100627656
64508,,1006,100664508
30249,,1006,100630249
33798,,1006,100633798
27656,,1006,100627656
64508,,1006,100664508
64508,,1006,100664508
64508,,1006,100664508
33798,,1006,100633798
58140,,1006,100658140
58140,,1006,100658140
58140,,1006,100658140
58140,,1006,100658140
58140,,1006,100658140
58140,,1006,100658140
58140,,1006,100658140
58140,,1006,100658140
58140,,1006,100658140
58140,,1006,100658140
58140,,1006,100658140
58140,,1006,100658140
58140,,1006,100658140
58140,,1006,100658140
64508,,1006,100664508
58140,,1006,100658140
64508,,1006,100664508
58140,,1006,100658140
58140,,1006,100658140
58140,,1006,100658140
58140,,1006,100658140
58140,,1006,100658140
83698,,1006,100683698
83698,,1006,100683698
83698,,1006,100683698
83698,,1006,100683698
83698,,1006,100683698
83698,,1006,100683698
83698,,1006,100683698
